[2010-03-06 23:30] [IC: Local Do] * What does Troy see? *      ((LaTroy Linus))
[2010-03-07 04:36] [IC: Local Do] * Read again: I try to withdraw, do I have enough power? *      ((Maccer Davidson))
[2010-03-07 04:37] [IC: Local Do] * do I succed? *      ((Jacob Garcia))
[2010-03-07 04:38] [IC: Local Do] * Does that stop me anyhow from trying to withdraw? *      ((Maccer Davidson))
[2010-03-07 04:38] [IC: Local Do] * yes? your tazed ..? *      ((Jacob Garcia))
[2010-03-07 04:38] [IC: Local Do] * I defined that I'm weak, but I'm still trying to move out. *      ((Maccer Davidson))
[2010-03-07 04:38] [IC: Local Do] * succcess *      ((Luke Matos))
[2010-03-07 04:38] [IC: Local Do] * succeds *      ((Santiago Cortez))
[2010-03-07 04:39] [IC: Local Do] * failes as he man is tazed... and is weak.. *      ((Jacob Garcia))
[2010-03-07 04:39] [IC: Local Do] * No, do you have any physical force that prevents that? *      ((Maccer Davidson))
[2010-03-07 04:39] [IC: Local Do] * Kitagaki is wearing a black suit and has a tattoo on the back of his neck running down. *      ((Kitagaki Mitsuharu))
[2010-03-07 04:39] [IC: Local Do] * He also has an earpiece connected to a concealed radio. *      ((Kitagaki Mitsuharu))
[2010-03-07 04:41] [IC: Local Do] * garcia is on his back with his knee *      ((Jacob Garcia))
[2010-03-07 04:41] [IC: Local Do] * do I succeed in doing so? *      ((Jacob Garcia))
[2010-03-07 04:41] [IC: Local Do] * And the matches on the desk. *      ((Nicholas Pacitti))
[2010-03-07 04:42] [IC: Local Do] * Holding a key ring with two keys attached. *      ((Kitagaki Mitsuharu))
[2010-03-07 04:43] [IC: Local Do] * do I succeed in cuffin you? *      ((Jacob Garcia))
[2010-03-07 04:43] [IC: Local Do] * Is all the information I see legit? *      ((Shawn Brown))
[2010-03-07 04:43] [IC: Local Do] * Yup *      ((Fred Kilroy))
[2010-03-07 04:50] [IC: Local Do] * A colt can be seen tucked into the waistline. *      ((Fred Kilroy))
[2010-03-07 04:50] [IC: Local Do] * stuttering *      ((Maccer Davidson))
[2010-03-07 04:51] [IC: Local Do] * Coins flickers to the curbe. *      ((Fred Kilroy))
[2010-03-07 04:52] [IC: Local Do] * do I succeed? *      ((Jacob Garcia))
[2010-03-07 04:52] [IC: Local Do] * I'm swerving around, you must control me. *      ((Maccer Davidson))
[2010-03-07 04:53] [IC: Local Do] * I'm swerving around, will you control me? *      ((Maccer Davidson))
[2010-03-07 04:53] [IC: Local Do] * Swerve with my body. *      ((Maccer Davidson))
[2010-03-07 04:54] [IC: Local Do] * his voice dims *      ((Maccer Davidson))
[2010-03-07 04:54] [IC: Local Do] * do I cuff you? *      ((Jacob Garcia))
[2010-03-07 04:54] [IC: Local Do] * You begin to, I stop swerving *      ((Maccer Davidson))
[2010-03-07 04:55] [IC: Local Do] * failes he cant swerve *      ((Jacob Garcia))
[2010-03-07 04:55] [IC: Local Do] * knee is on his back *      ((Jacob Garcia))
[2010-03-07 04:55] [IC: Local Do] * do I succeed? *      ((Jacob Garcia))
[2010-03-07 04:56] [IC: Local Do] * If you want to do it the magic non-rp way, sure. *      ((Maccer Davidson))
[2010-03-07 04:56] [IC: Local Do] * You can see an UZI next to you, you might want to take care of it, Daniel *      ((Randall Himes))
[2010-03-07 04:56] [IC: Local Do] * In case you notice it *      ((Randall Himes))
[2010-03-07 04:58] [IC: Local Do] * theres no answer *      ((Chris Gambetti))
[2010-03-07 04:59] [IC: Local Do] * Loud Hiphop can be heard fromwithin the car. *      ((Fred Kilroy))
[2010-03-07 04:59] [IC: Local Do] * chopped and screwed music plays from the taxi *      ((Joseph McVey))
[2010-03-07 05:06] [IC: Local Do] * There is a name and a picture on the pda "Salvino Stracci" *      ((James Williams))
[2010-03-07 05:10] [IC: Local Do] * The crane lowers *      ((Carol Andersson))
[2010-03-07 05:16] [IC: Local Do] * LSPD Lieutenant Pearce, Darren #126 *      ((Kitagaki Mitsuharu))
[2010-03-07 05:16] [IC: Local Do] * OFF *      ((Kitagaki Mitsuharu))
[2010-03-07 05:16] [IC: Local Do] * Is a 35 year old Italian-American, medium height, toned slightly. *      ((Michael Ricciotti))
[2010-03-07 05:16] [IC: Local Do] * Looks younger. *      ((Michael Ricciotti))
[2010-03-07 05:17] [IC: Local Do] * Has a constant sarcastic grin on his face.. *      ((Michael Ricciotti))
[2010-03-07 05:21] [IC: Local Do] * A monitor flips down, along with a keyboard. *      ((Kitagaki Mitsuharu))
[2010-03-07 05:26] [IC: Local Do] * has bag on back *      ((Nate Rose))
[2010-03-07 05:26] [IC: Local Do] * Fake mask on *      ((Joshua Loyd))
[2010-03-07 05:28] [IC: Local Do] * Picture shows a man named Salvino Stracci *      ((Sev Wiseman))
[2010-03-07 05:29] [IC: Local Do] * 45072 *      ((James Williams))
[2010-03-07 05:33] [IC: Local Do] * The blip moves towards El Corona. *      ((Kitagaki Mitsuharu))
[2010-03-07 05:34] [IC: Local Do] * The window is down. *      ((Michael Ricciotti))
[2010-03-07 05:35] [IC: Local Do] * Has a constant sarcastic grin on his face.. *      ((Michael Ricciotti))
[2010-03-07 05:35] [IC: Local Do] * The crane lowers *      ((Carol Andersson))
[2010-03-07 05:36] [IC: Local Do] * bloody *      ((Adam Benjamin))
[2010-03-07 05:36] [IC: Local Do] * The crane goes up *      ((Carol Andersson))
[2010-03-07 05:41] [IC: Local Do] * S/F *      ((Joshua Loyd))
[2010-03-07 05:41] [IC: Local Do] * S *      ((Joshua Loyd))
[2010-03-07 05:41] [IC: Local Do] * Do you wear a chain? *      ((Michael Ricciotti))
[2010-03-07 05:41] [IC: Local Do] * i am *      ((Fred Kilroy))
[2010-03-07 05:43] [IC: Local Do] * Has a constant sarcastic grin on his face.. *      ((Michael Ricciotti))
[2010-03-07 05:44] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 05:49] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 05:52] [IC: Local Do] * Success? *      ((Randall Himes))
[2010-03-07 05:52] [IC: Local Do] * Yes. *      ((Jimmy Sanders))
[2010-03-07 05:52] [IC: Local Do] * Yes smell alot of vodka *      ((Jimmy Sanders))
[2010-03-07 05:53] [IC: Local Do] * Success with the cuffing of the right hand? *      ((Randall Himes))
[2010-03-07 05:53] [IC: Local Do] * yes *      ((Jimmy Sanders))
[2010-03-07 05:54] [IC: Local Do] * Success? *      ((Randall Himes))
[2010-03-07 05:54] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 05:54] [IC: Local Do] * *Click* *      ((Randall Himes))
[2010-03-07 05:54] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 05:56] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 05:56] [IC: Local Do] * fails, it is locked *      ((Nate Rose))
[2010-03-07 05:56] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 06:00] [IC: Local Do] * Is the window down? *      ((Randall Himes))
[2010-03-07 06:00] [IC: Local Do] * Yes *      ((Jay Carey))
[2010-03-07 06:00] [IC: Local Do] * Strong smell of Marijuana radiates off Rondall. *      ((Rondall McGee))
[2010-03-07 06:02] [IC: Local Do] * The shots travel very poorly because of the recoil. *      ((Rondall McGee))
[2010-03-07 06:02] [IC: Local Do] * no locks *      ((Edd Brown))
[2010-03-07 06:02] [IC: Local Do] * succeed *      ((Edd Brown))
[2010-03-07 06:10] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:10] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 06:10] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 06:11] [IC: Local Do] * yea *      ((Jimmy Sanders))
[2010-03-07 06:11] [IC: Local Do] * Clothes change? *      ((Maccer Davidson))
[2010-03-07 06:11] [IC: Local Do] * Yes. *      ((Rondall McGee))
[2010-03-07 06:11] [IC: Local Do] * Do I recognize your face? Anything? *      ((Maccer Davidson))
[2010-03-07 06:12] [IC: Local Do] * Not any part of my face, as it was covered by a hat , glasses and a ski-mask. *      ((Rondall McGee))
[2010-03-07 06:12] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 06:12] [IC: Local Do] * You recognize my height and voice tone. *      ((Rondall McGee))
[2010-03-07 06:12] [IC: Local Do] * yes *      ((Jimmy Sanders))
[2010-03-07 06:12] [IC: Local Do] * Also my body build. *      ((Rondall McGee))
[2010-03-07 06:12] [IC: Local Do] * Has his hands in his suit-jacket *      ((Maccer Davidson))
[2010-03-07 06:13] [IC: Local Do] * suceeds *      ((Jack Quinn))
[2010-03-07 06:13] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 06:13] [IC: Local Do] * suceeds *      ((Chris Gambetti))
[2010-03-07 06:14] [IC: Local Do] * Has a constant sarcastic grin on his face.. *      ((Michael Ricciotti))
[2010-03-07 06:14] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 06:15] [IC: Local Do] * What does the device say? *      ((Randall Himes))
[2010-03-07 06:15] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:15] [IC: Local Do] * A sudden flinch in his body is felt *      ((Maccer Davidson))
[2010-03-07 06:15] [IC: Local Do] * that i have LOTS of alchol in my bloos *      ((Jimmy Sanders))
[2010-03-07 06:15] [IC: Local Do] * His right hand is still in his suit *      ((Maccer Davidson))
[2010-03-07 06:16] [IC: Local Do] * Bang, a drink falls. *      ((Rondall McGee))
[2010-03-07 06:18] [IC: Local Do] * An object slowly falls down Maccer's undershirt *      ((Maccer Davidson))
[2010-03-07 06:18] [IC: Local Do] * Rondall has a serious dissociative identity disorder. *      ((Rondall McGee))
[2010-03-07 06:19] [IC: Local Do] * emphasis on the s(or z) *      ((Maccer Davidson))
[2010-03-07 06:19] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:20] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:20] [IC: Local Do] * Radio Los Santos blares from the stereo. *      ((Rondall McGee))
[2010-03-07 06:25] [IC: Local Do] * OFF *      ((Rondall McGee))
[2010-03-07 06:27] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:29] [IC: Local Do] * Water goes all over *      ((Carol Andersson))
[2010-03-07 06:32] [IC: Local Do] * Making a "stop" motion *      ((Maccer Davidson))
[2010-03-07 06:36] [IC: Local Do] * The coughing stops suddenly, and Rondall gets pulled up by Maccer. *      ((Rondall McGee))
[2010-03-07 06:36] [IC: Local Do] * about 80kg force with both hands *      ((Maccer Davidson))
[2010-03-07 06:37] [IC: Local Do] * Rondall sees Maccer as a devil with two horns on the side of his head. *      ((Rondall McGee))
[2010-03-07 06:38] [IC: Local Do] * Do I get ahold of you once tackled? *      ((Maccer Davidson))
[2010-03-07 06:38] [IC: Local Do] * Or do you shift? *      ((Maccer Davidson))
[2010-03-07 06:38] [IC: Local Do] * Yes, Rondall gets tackled and thumps his back on the couch. *      ((Rondall McGee))
[2010-03-07 06:39] [IC: Local Do] * Head gets shaken up, there is a moment of silence from Rondall. *      ((Rondall McGee))
[2010-03-07 06:42] [IC: Local Do] * a little sudden shock *      ((Maccer Davidson))
[2010-03-07 06:43] [IC: Local Do] * 69, 69 , 68, 69. *      ((Rondall McGee))
[2010-03-07 06:49] [IC: Local Do] * it reads 44275 *      ((Jack Quinn))
[2010-03-07 06:52] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:54] [IC: Local Do] * Are you both naked or something? *      ((Michael Ricciotti))
[2010-03-07 06:54] [IC: Local Do] * No. *      ((Allysa Melon))
[2010-03-07 06:55] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 06:59] [IC: Local Do] * succeeds? *      ((Fiona Melon))
[2010-03-07 07:01] [IC: Local Do] * has bag on back *      ((Nate Rose))
[2010-03-07 07:08] [IC: Local Do] * Theres an AK in the corner of teh safe and shelf *      ((Nicholas Pacitti))
[2010-03-07 07:11] [IC: Local Do] * no locks *      ((Edd Brown))
[2010-03-07 07:11] [IC: Local Do] * Fallfront *      ((Nicholas Pacitti))
[2010-03-07 07:11] [IC: Local Do] * succeed *      ((Edd Brown))
[2010-03-07 07:16] [IC: Local Do] * You can see a sticker reading ''Secretary Bussines'' *      ((Mark Linn))
[2010-03-07 07:20] [IC: Local Do] * Anybody has change in clothes from bathing? *      ((Michael Ricciotti))
[2010-03-07 07:20] [IC: Local Do] * No *      ((Fiona Melon))
[2010-03-07 07:24] [IC: Local Do] * The truck turns off *      ((Carol Andersson))
[2010-03-07 07:27] [IC: Local Do] * succeeds *      ((Fiona Melon))
[2010-03-07 07:29] [IC: Local Do] * succeeds? *      ((Fiona Melon))
[2010-03-07 07:29] [IC: Local Do] * succeeds? *      ((Fiona Melon))
[2010-03-07 07:29] [IC: Local Do] * succeeds *      ((Fiona Melon))
[2010-03-07 07:30] [IC: Local Do] * F the attempt stuff, just go. *      ((Michael Ricciotti))
[2010-03-07 07:30] [IC: Local Do] * it reads: 6:29 AM *      ((Carol Andersson))
[2010-03-07 07:30] [IC: Local Do] * See blood on his head ... ? *      ((Kyohei Makasaru))
[2010-03-07 07:32] [IC: Local Do] * Succeeds? *      ((Fiona Melon))
[2010-03-07 07:33] [IC: Local Do] * succeeds *      ((Fiona Melon))
[2010-03-07 07:35] [IC: Local Do] * Fiona is wearing a bra. *      ((Fiona Melon))
[2010-03-07 07:37] [IC: Local Do] * You hear a thud as his pants fall, there was a tech-9 automatic pistol in it. *      ((Michael Ricciotti))
[2010-03-07 07:38] [IC: Local Do] * You can't see it tho *      ((Michael Ricciotti))
[2010-03-07 07:38] [IC: Local Do] * a briefcase in hand *      ((Hachemon Abukaru))
[2010-03-07 07:39] [IC: Local Do] * succeeds *      ((Fiona Melon))
[2010-03-07 07:39] [IC: Local Do] * Fiona is on top of Michael, kissing him. *      ((Fiona Melon))
[2010-03-07 07:39] [IC: Local Do] * ** ok Sir how much money are we transfering. *      ((Hachemon Abukaru))
[2010-03-07 07:40] [IC: Local Do] * Has no underwear on, and his penis is really hard. *      ((Michael Ricciotti))
[2010-03-07 07:40] [IC: Local Do] * the briefcase is on her side *      ((Hachemon Abukaru))
[2010-03-07 07:43] [IC: Local Do] * Jay Said Can you pay me $700 *      ((Jay Carey))
[2010-03-07 07:44] [IC: Local Do] * Fiona is on top of Michael. *      ((Fiona Melon))
[2010-03-07 07:45] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 07:46] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 07:48] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 07:48] [IC: Local Do] * Jay need it' *      ((Jay Carey))
[2010-03-07 07:48] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 07:50] [IC: Local Do] * succeeds? *      ((Fiona Melon))
[2010-03-07 07:52] [IC: Local Do] * The gun is on the ground. *      ((Michael Ricciotti))
[2010-03-07 07:52] [IC: Local Do] * LSPD Lieutenant Pearce, Darren #126 *      ((Darren Pearce))
[2010-03-07 07:52] [IC: Local Do] * LSPD Lieutenant Pearce, Darren #126 *      ((Darren Pearce))
[2010-03-07 07:52] [IC: Local Do] * LSPD Lieutenant Pearce, Darren #126 *      ((Darren Pearce))
[2010-03-07 07:53] [IC: Local Do] * A hissing noise is heard from the engine. *      ((Darren Pearce))
[2010-03-07 07:53] [IC: Local Do] * A hissing noise is heard from the engine. *      ((Darren Pearce))
[2010-03-07 07:53] [IC: Local Do] * A clicking noise now. *      ((Darren Pearce))
[2010-03-07 07:53] [IC: Local Do] * A single click. *      ((Darren Pearce))
[2010-03-07 07:54] [IC: Local Do] * Pajamas on Allysa. *      ((Allysa Melon))
[2010-03-07 08:00] [IC: Local Do] * ACCESS GRANTED *      ((Darren Pearce))
[2010-03-07 08:00] [IC: Local Do] * ACCESS GRANTED *      ((Darren Pearce))
[2010-03-07 08:01] [IC: Local Do] * Heard a loud car pull up. *      ((Michael Ricciotti))
[2010-03-07 08:08] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 08:08] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 08:10] [IC: Local Do] * Terrible Singing *      ((Jay Carey))
[2010-03-07 08:11] [IC: Local Do] * Too big *      ((Jay Carey))
[2010-03-07 08:13] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 08:32] [IC: Local Do] * he succeeds in tieing him up *      ((Enrique Thompson))
[2010-03-07 08:32] [IC: Local Do] * suceeds? *      ((Jack Quinn))
[2010-03-07 08:33] [IC: Local Do] * succeeds. *      ((Enrique Thompson))
[2010-03-07 08:33] [IC: Local Do] * what do i find? *      ((Jack Quinn))
[2010-03-07 08:33] [IC: Local Do] * what do i find? *      ((Jack Quinn))
[2010-03-07 08:33] [IC: Local Do] * a cellphone. *      ((Enrique Thompson))
[2010-03-07 08:35] [IC: Local Do] * you find 3 grand rolled up in his back pocket *      ((Enrique Thompson))
[2010-03-07 08:44] [IC: Local Do] * succeeds? *      ((Richard Williams))
[2010-03-07 08:44] [IC: Local Do] * 1/2 *      ((Medwin Metz))
[2010-03-07 08:44] [IC: Local Do] * 2/2 *      ((Medwin Metz))
[2010-03-07 08:45] [IC: Local Do] * Yes or NO *      ((Richard Williams))
[2010-03-07 08:46] [IC: Local Do] * succeeds? *      ((Richard Williams))
[2010-03-07 09:08] [IC: Local Do] * The car's windows are up and tinted black. *      ((Richard Williams))
[2010-03-07 09:12] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:22] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:32] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:32] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:34] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:34] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:45] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 09:50] [IC: Local Do] * 1/4 *      ((Adam Benjamin))
[2010-03-07 09:50] [IC: Local Do] * 2/4 *      ((Adam Benjamin))
[2010-03-07 09:50] [IC: Local Do] * 3/4 *      ((Adam Benjamin))
[2010-03-07 09:50] [IC: Local Do] * 4/4 *      ((Adam Benjamin))
[2010-03-07 09:53] [IC: Local Do] * You can see a sticker at the blue Stratum reading ''National Secretary'' *      ((Mark Linn))
[2010-03-07 09:57] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 09:57] [IC: Local Do] * you can see big scar on drakes face *      ((Drake Jonson))
[2010-03-07 10:01] [IC: Local Do] * 1/2 *      ((Ike Hemlock))
[2010-03-07 10:01] [IC: Local Do] * 2/2 *      ((Ike Hemlock))
[2010-03-07 10:07] [IC: Local Do] * no locks *      ((Edd Brown))
[2010-03-07 10:21] [IC: Local Do] * left window down *      ((Katy Clark))
[2010-03-07 10:21] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 10:29] [IC: Local Do] * Sneaking *      ((Katy Clark))
[2010-03-07 10:30] [IC: Local Do] * With her eyes. *      ((Katy Clark))
[2010-03-07 10:30] [IC: Local Do] * None visible *      ((Randall Himes))
[2010-03-07 10:31] [IC: Local Do] * Succeds? *      ((Katy Clark))
[2010-03-07 10:31] [IC: Local Do] * Succeeds, Randall gets grabbed by the neck *      ((Randall Himes))
[2010-03-07 10:32] [IC: Local Do] * Succ, but i still dont let you. *      ((Katy Clark))
[2010-03-07 10:32] [IC: Local Do] * succes? *      ((Ike Hemlock))
[2010-03-07 10:32] [IC: Local Do] * Supports with what? *      ((Randall Himes))
[2010-03-07 10:33] [IC: Local Do] * With holding you *      ((Katy Clark))
[2010-03-07 10:33] [IC: Local Do] * and dragging *      ((Katy Clark))
[2010-03-07 10:33] [IC: Local Do] * Fail, your on ground, amirait? *      ((Katy Clark))
[2010-03-07 10:34] [IC: Local Do] * My arms are free, right? *      ((Randall Himes))
[2010-03-07 10:40] [IC: Local Do] * succes? *      ((Ike Hemlock))
[2010-03-07 10:40] [IC: Local Do] * You hit Randall while he tries to bump me? *      ((Katy Clark))
[2010-03-07 10:40] [IC: Local Do] * Success, but it doesn't knock me out *      ((Randall Himes))
[2010-03-07 10:40] [IC: Local Do] * is randall on the ground now? *      ((Ike Hemlock))
[2010-03-07 10:40] [IC: Local Do] * He already was? *      ((Katy Clark))
[2010-03-07 10:40] [IC: Local Do] * I never was on the ground Oô *      ((Randall Himes))
[2010-03-07 10:41] [IC: Local Do] * succes? *      ((Ike Hemlock))
[2010-03-07 10:41] [IC: Local Do] * I attempted to hit you with pepper spray, you didnt yet react *      ((Randall Himes))
[2010-03-07 10:41] [IC: Local Do] * Spraying wildly around got a serious chance to hit you *      ((Randall Himes))
[2010-03-07 10:41] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 10:42] [IC: Local Do] * I did fell from your elbow hit, you just sprayed air? *      ((Katy Clark))
[2010-03-07 10:42] [IC: Local Do] * I hit you with the left elbow, grabbed the pepper spray with the right hand *      ((Randall Himes))
[2010-03-07 10:42] [IC: Local Do] * So i fell, *      ((Katy Clark))
[2010-03-07 10:42] [IC: Local Do] * Then attempted to hit you two with the spra *      ((Randall Himes))
[2010-03-07 10:43] [IC: Local Do] * By spraying you two, I got free and could turn around *      ((Randall Himes))
[2010-03-07 10:43] [IC: Local Do] * You didnt sprayed Katy *      ((Katy Clark))
[2010-03-07 10:43] [IC: Local Do] * Too far away *      ((Katy Clark))
[2010-03-07 10:43] [IC: Local Do] * succes? *      ((Ike Hemlock))
[2010-03-07 10:43] [IC: Local Do] * succeds? *      ((Katy Clark))
[2010-03-07 10:43] [IC: Local Do] * I could see your first coming while I was turning around, so you hit me only slightly *      ((Randall Himes))
[2010-03-07 10:44] [IC: Local Do] * me attempts to close hsi eyes before he sprays in them *      ((Ike Hemlock))
[2010-03-07 10:44] [IC: Local Do] * succes? *      ((Ike Hemlock))
[2010-03-07 10:44] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 10:44] [IC: Local Do] * Yes, but if it does hit your face, it will blind you when you re-open your eyes *      ((Randall Himes))
[2010-03-07 10:45] [IC: Local Do] * 1/2 *      ((Ike Hemlock))
[2010-03-07 10:45] [IC: Local Do] * 2/2 *      ((Ike Hemlock))
[2010-03-07 10:45] [IC: Local Do] * succes *      ((Ike Hemlock))
[2010-03-07 10:45] [IC: Local Do] * You can't really wipe it off that easily withotu water, if you re-open your eyes, you will *      ((Randall Himes))
[2010-03-07 10:45] [IC: Local Do] * get some effect of the spray *      ((Randall Himes))
[2010-03-07 10:45] [IC: Local Do] * While he's looking at Ike *      ((Katy Clark))
[2010-03-07 10:46] [IC: Local Do] * Gets grabbed by his head, but resists getting pulled down for the knee to hit her *      ((Randall Himes))
[2010-03-07 10:46] [IC: Local Do] * him* *      ((Randall Himes))
[2010-03-07 10:46] [IC: Local Do] * Succes? *      ((Katy Clark))
[2010-03-07 10:49] [IC: Local Do] * Your holding your head *      ((Katy Clark))
[2010-03-07 10:49] [IC: Local Do] * remembar? *      ((Katy Clark))
[2010-03-07 10:49] [IC: Local Do] * I dont? *      ((Randall Himes))
[2010-03-07 10:49] [IC: Local Do] * Then i did hit your head with my knee already? *      ((Katy Clark))
[2010-03-07 10:49] [IC: Local Do] * Misunderstanding: *      ((Randall Himes))
[2010-03-07 10:49] [IC: Local Do] * You got to hold my head for the moment, but you didnt get to pull my head down to hit *      ((Randall Himes))
[2010-03-07 10:49] [IC: Local Do] * it with your knee *      ((Randall Himes))
[2010-03-07 10:50] [IC: Local Do] * me attempts to hit randall on the head , ike cant see to well *      ((Ike Hemlock))
[2010-03-07 10:51] [IC: Local Do] * You didnt yet react to my attempt *      ((Randall Himes))
[2010-03-07 10:51] [IC: Local Do] * I did, you grabbed my one leg *      ((Katy Clark))
[2010-03-07 10:52] [IC: Local Do] * And tried to push you back with force, so that you probably could have fallen down *      ((Randall Himes))
[2010-03-07 10:52] [IC: Local Do] * You fail push me *      ((Katy Clark))
[2010-03-07 10:52] [IC: Local Do] * succes? *      ((Ike Hemlock))
[2010-03-07 10:52] [IC: Local Do] * Im holding your head hard. *      ((Katy Clark))
[2010-03-07 10:53] [IC: Local Do] * Does randall wears a gun? *      ((Katy Clark))
[2010-03-07 11:02] [IC: Local Do] * windows down? *      ((Juan Gonzales))
[2010-03-07 11:02] [IC: Local Do] * no *      ((Matthew Ello))
[2010-03-07 11:07] [IC: Local Do] * Leo's seatbelt is buckled up. *      ((Leo Brownstone))
[2010-03-07 11:08] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:08] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:08] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:09] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:09] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:10] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:10] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:10] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:11] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:11] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:13] [IC: Local Do] * There is a colt.45 on Jamies right hip. *      ((Jamie Reeves))
[2010-03-07 11:17] [IC: Local Do] * the engine starts *      ((Kathrine Fields))
[2010-03-07 11:20] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 11:21] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 11:30] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:30] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:30] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:30] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 11:32] [IC: Local Do] * Loud Bassed Reggae music is heard from the camper *      ((Arraminta Brenkly))
[2010-03-07 11:36] [IC: Local Do] * You hear clasic music from the car *      ((Vincenzo Corleone))
[2010-03-07 11:36] [IC: Local Do] * Windows down? *      ((John Fendal))
